doc_id,length
official_macro_dcoilwtico_2011-03-30,65
official_macro_dcoilwtico_2011-03-31,65
official_macro_dcoilwtico_2011-04-01,65
official_macro_dcoilwtico_2011-04-04,65
official_macro_dcoilwtico_2011-04-05,65
official_macro_dcoilwtico_2011-04-06,65
official_macro_dcoilwtico_2011-04-07,65
official_macro_dcoilwtico_2011-04-08,65
official_macro_dcoilwtico_2011-04-11,65
official_macro_dcoilwtico_2011-04-12,65
official_macro_dcoilwtico_2011-04-13,65
official_macro_dcoilwtico_2011-04-14,65
official_macro_dcoilwtico_2011-04-15,65
official_macro_dcoilwtico_2011-04-18,65
official_macro_dcoilwtico_2011-04-19,65
official_macro_dcoilwtico_2011-04-20,65
official_macro_dcoilwtico_2011-04-21,65
official_macro_dcoilwtico_2011-04-25,65
official_macro_dcoilwtico_2011-04-26,65
official_macro_dcoilwtico_2011-04-27,65
official_macro_dcoilwtico_2011-04-28,65
official_macro_dcoilwtico_2011-04-29,65
official_macro_dcoilwtico_2011-05-02,65
official_macro_dcoilwtico_2011-05-03,65
official_macro_dcoilwtico_2011-05-04,65
official_macro_dcoilwtico_2011-05-05,65
official_macro_dcoilwtico_2011-05-06,65
official_macro_dcoilwtico_2011-05-09,65
official_macro_dcoilwtico_2011-05-10,65
official_macro_dcoilwtico_2011-05-11,65
official_macro_dcoilwtico_2011-05-12,65
official_macro_dcoilwtico_2011-05-13,65
official_macro_dcoilwtico_2011-05-16,65
official_macro_dcoilwtico_2011-05-17,65
official_macro_dcoilwtico_2011-05-18,65
official_macro_dcoilwtico_2011-05-19,65
official_macro_dcoilwtico_2011-05-20,65
official_macro_dcoilwtico_2011-05-23,65
official_macro_dcoilwtico_2011-05-24,65
official_macro_dcoilwtico_2011-05-25,65
official_macro_dcoilwtico_2011-05-26,65
official_macro_dcoilwtico_2011-05-27,65
official_macro_dcoilwtico_2011-05-31,65
official_macro_dcoilwtico_2011-06-01,65
official_macro_dcoilwtico_2011-06-02,65
official_macro_dcoilwtico_2011-06-03,65
official_macro_dcoilwtico_2011-06-06,65
official_macro_dcoilwtico_2011-06-07,65
official_macro_dcoilwtico_2011-06-08,65
official_macro_dcoilwtico_2011-06-09,65
official_macro_dcoilwtico_2011-06-10,65
official_macro_dcoilwtico_2011-06-13,65
official_macro_dcoilwtico_2011-06-14,65
official_macro_dcoilwtico_2011-06-15,65
official_macro_dcoilwtico_2011-06-16,65
official_macro_dcoilwtico_2011-06-17,65
official_macro_dcoilwtico_2011-06-20,65
official_macro_dcoilwtico_2011-06-21,65
official_macro_dcoilwtico_2011-06-22,65
official_macro_dcoilwtico_2011-06-23,65
official_macro_dcoilwtico_2011-06-24,65
official_macro_dcoilwtico_2011-06-27,65
official_macro_dcoilwtico_2011-06-28,65
official_macro_dcoilwtico_2011-06-29,65
official_macro_dcoilwtico_2011-06-30,65
official_macro_dcoilwtico_2011-07-01,65
official_macro_dcoilwtico_2011-07-05,65
official_macro_dcoilwtico_2011-07-06,65
official_macro_dcoilwtico_2011-07-07,65
official_macro_dcoilwtico_2011-07-08,65
official_macro_dcoilwtico_2011-07-11,65
official_macro_dcoilwtico_2011-07-12,65
official_macro_dcoilwtico_2011-07-13,65
official_macro_dcoilwtico_2011-07-14,65
official_macro_dcoilwtico_2011-07-15,65
official_macro_dcoilwtico_2011-07-18,65
official_macro_dcoilwtico_2011-07-19,65
official_macro_dcoilwtico_2011-07-20,65
official_macro_dcoilwtico_2011-07-21,65
official_macro_dcoilwtico_2011-07-22,65
official_macro_dcoilwtico_2011-07-25,65
official_macro_dcoilwtico_2011-07-26,65
official_macro_dcoilwtico_2011-07-27,65
official_macro_dcoilwtico_2011-07-28,65
official_macro_dcoilwtico_2011-07-29,65
official_macro_dcoilwtico_2011-08-01,65
official_macro_dcoilwtico_2011-08-02,65
official_macro_dcoilwtico_2011-08-03,65
official_macro_dcoilwtico_2011-08-04,65
official_macro_dcoilwtico_2011-08-05,65
official_macro_dcoilwtico_2011-08-08,65
official_macro_dcoilwtico_2011-08-09,65
official_macro_dcoilwtico_2011-08-10,65
official_macro_dcoilwtico_2011-08-11,65
official_macro_dcoilwtico_2011-08-12,65
