ticker,company,source_type,url,crawler_grade,needs_js,checked_at,http_status,final_url,title,fetch_error,page_years_2010_2023,option_years_2010_2023,train_year_hints_2010_2021,test_year_hints_2021_2023,same_site_historical_links_seen,sample_1_url,sample_1_status,sample_1_title,sample_1_years,sample_1_fulltext_like,sample_2_url,sample_2_status,sample_2_title,sample_2_years,sample_2_fulltext_like,historical_coverage_grade,historical_coverage_note
AXP,American Express,earnings_results_archive,https://ir.americanexpress.com/financials/,browser_or_api_needed,yes,2026-05-13T11:27:01Z,200,https://ir.americanexpress.com/financials/,American Express Company - Financials,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
AXP,American Express,press_releases_archive,https://ir.americanexpress.com/News/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:01Z,200,https://ir.americanexpress.com/News/default.aspx,American Express Company - News,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
BA,Boeing,company_news_archive,https://boeing.mediaroom.com/news-releases-statements,crawler_ready,no,2026-05-13T11:27:01Z,200,https://boeing.mediaroom.com/news-releases-statements,News Releases | Boeing Newsroom,,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021|2022|2023,2010|2011|2012|2013|2014|2015|2016|2017|2018|2019|2020|2021,2021|2022|2023,0,,,,,,,,,,,weak_historical_hint,"Only weak train-period hints, no good detail link found."
BA,Boeing,earnings_results_archive,https://investors.boeing.com/investors/financial-reports/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:02Z,200,https://investors.boeing.com/investors/overview/default.aspx,Boeing Company - Investors - Overview,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
BA,Boeing,press_releases_archive,https://investors.boeing.com/investors/news/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:01Z,200,https://investors.boeing.com/investors/news/default.aspx,Boeing Company - Investors - News,,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
CAT,Caterpillar,company_news_archive,https://www.caterpillar.com/en/news/corporate-press-releases.html,crawler_ready,no,2026-05-13T11:27:02Z,403,https://www.caterpillar.com/en/news/corporate-press-releases.html,Access Denied,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CAT,Caterpillar,earnings_results_archive,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:02Z,403,https://investors.caterpillar.com/financials/quarterly-results/default.aspx,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CAT,Caterpillar,press_releases_archive,https://investors.caterpillar.com/news/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:03Z,403,https://www.caterpillar.com/en/news/,Access Denied,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CRM,Salesforce,earnings_results_archive,https://investor.salesforce.com/financials/quarterly-results/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:03Z,403,https://investor.salesforce.com/financials/quarterly-results/default.aspx,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
CRM,Salesforce,investor_relations,https://investor.salesforce.com/overview/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:03Z,200,https://investor.salesforce.com/overview/default.aspx,"Salesforce.com, Inc. - Salesforce Investor Relations",,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
CRM,Salesforce,press_releases_archive,https://investor.salesforce.com/news/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:03Z,200,https://investor.salesforce.com/news/default.aspx,"Salesforce.com, Inc. - Investor News",,,,,,0,,,,,,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
CSCO,Cisco,company_news_archive,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,browser_or_api_needed,yes,2026-05-13T11:27:05Z,200,https://newsroom.cisco.com/c/r/newsroom/en/us/press-releases.html,Press Releases,,,,,2023,1,https://newsroom.cisco.com/c/r/newsroom/en/us/a/y2023/m09/pr-sep21.html,200,"Cisco to Acquire Splunk, to Help Make Organizations More Secure and Resilient in an AI-Powered World",2022|2023,True,,,,,,js_or_vendor_api_unknown,Likely archive behind JS/Q4/vendor API; direct HTML does not prove historical coverage.
CSCO,Cisco,earnings_results_archive,https://investor.cisco.com/financials/quarterly-results/default.aspx,browser_or_api_needed,yes,2026-05-13T11:27:04Z,403,https://investor.cisco.com/financials/quarterly-results/default.aspx,Just a moment...,,,,,,0,,,,,,,,,,,blocked_or_failed,Current fetch failed/forbidden; cannot validate history from this URL.
