ticker,company,source_type,url,hits_years,hit_count,hit_2010,hit_2015,hit_2021,sample_hits,pattern_probe_grade
DIS,Walt Disney,investor_relations,https://thewaltdisneycompany.com/investor-relations/,2010|2015|2021,3,True,True,True,2010 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/ || 2015 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/ || 2021 200 The Walt Disney Company - Investor Relations -> https://investors.thewaltdisneycompany.com/,old_and_recent_pattern
GS,Goldman Sachs,company_news_archive,https://www.goldmansachs.com/pressroom,2010|2015|2021,3,True,True,True,2010 200 Pressroom | Goldman Sachs -> https://www.goldmansachs.com/pressroom?year=2010 || 2015 200 Pressroom | Goldman Sachs -> https://www.goldmansachs.com/pressroom?year=2015 || 2021 200 Pressroom | Goldman Sachs -> https://www.goldmansachs.com/pressroom?year=2021,old_and_recent_pattern
GS,Goldman Sachs,earnings_results_archive,https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases,2010|2015|2021,3,True,True,True,2010 200 Quarterly Earnings Releases | Goldman Sachs -> https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases?year=2010 || 2015 200 Quarterly Earnings Releases | Goldman Sachs -> https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases?year=2015 || 2021 200 Quarterly Earnings Releases | Goldman Sachs -> https://www.goldmansachs.com/investor-relations/financials/quarterly-earnings-releases?year=2021,old_and_recent_pattern
GS,Goldman Sachs,press_releases_archive,https://www.goldmansachs.com/pressroom/,,0,False,False,False,,no_pattern_hits
HD,Home Depot,company_news_archive,https://corporate.homedepot.com/page/newsroom,2010|2015|2021,3,True,True,True,2010 200 Newsroom | The Home Depot -> https://corporate.homedepot.com/page/newsroom?year=2010 || 2015 200 Newsroom | The Home Depot -> https://corporate.homedepot.com/page/newsroom?year=2015 || 2021 200 Newsroom | The Home Depot -> https://corporate.homedepot.com/page/newsroom?year=2021,old_and_recent_pattern
HD,Home Depot,earnings_results_archive,https://ir.homedepot.com/financial-reports/quarterly-earnings,2010|2015|2021,3,True,True,True,2010 200 Quarterly Earnings 2025 | The Home Depot -> https://ir.homedepot.com/financial-reports/quarterly-earnings/2025?year=2010 || 2015 200 Quarterly Earnings 2015 | The Home Depot -> https://ir.homedepot.com/financial-reports/quarterly-earnings/2015 || 2021 200 Quarterly Earnings 2021 | The Home Depot -> https://ir.homedepot.com/financial-reports/quarterly-earnings/2021,old_and_recent_pattern
HD,Home Depot,press_releases_archive,https://ir.homedepot.com/news-releases,2010|2015|2021,3,True,True,True,2010 200 News Releases 2010 | The Home Depot -> https://ir.homedepot.com/news-releases/2010 || 2015 200 News Releases 2015 | The Home Depot -> https://ir.homedepot.com/news-releases/2015 || 2021 200 News Releases 2021 | The Home Depot -> https://ir.homedepot.com/news-releases/2021,old_and_recent_pattern
HON,Honeywell,company_news_archive,https://www.honeywell.com/us/en/news,2010|2015|2021,3,True,True,True,2010 200 News &amp; Insights | Honeywell -> https://www.honeywell.com/us/en/news?year=2010 || 2015 200 News &amp; Insights | Honeywell -> https://www.honeywell.com/us/en/news?year=2015 || 2021 200 Honeywell - The Future Is What We Make It -> https://www.honeywell.com/us/en,old_and_recent_pattern
HON,Honeywell,earnings_results_archive,https://honeywell.gcs-web.com/financial-information/quarterly-results,,0,False,False,False,,no_pattern_hits
HON,Honeywell,press_releases_archive,https://www.honeywell.com/newsroom/pressreleases/?page=1,2010|2015|2021,3,True,True,True,2010 200 Press &amp; Media | Honeywell -> https://www.honeywell.com/us/en/press?page=1&year=2010 || 2015 200 Press &amp; Media | Honeywell -> https://www.honeywell.com/us/en/press?page=1&year=2015 || 2021 200 Honeywell - The Future Is What We Make It -> https://www.honeywell.com/us/en,old_and_recent_pattern
IBM,IBM,company_news_archive,https://newsroom.ibm.com/announcements,2010|2015|2021,3,True,True,True,2010 200 IBM - Announcements -> https://newsroom.ibm.com/announcements/2010 || 2015 200 IBM - Announcements -> https://newsroom.ibm.com/announcements/2015 || 2021 200 IBM - Announcements -> https://newsroom.ibm.com/announcements/2021,old_and_recent_pattern
