scope,feature,feature_family,is_provenance_like,train_nonzero_rate,test_nonzero_rate,train_std,test_std,fwd_20d_realized_vol_train_spearman,fwd_20d_realized_vol_test_spearman,fwd_20d_max_drawdown_train_spearman,fwd_20d_max_drawdown_test_spearman,fwd_5d_return_train_spearman,fwd_5d_return_test_spearman,fwd_20d_high_vol_flag_train_auc,fwd_20d_high_vol_flag_test_auc,fwd_20d_drawdown_flag_train_auc,fwd_20d_drawdown_flag_test_auc,fwd_20d_risk_flag_train_auc,fwd_20d_risk_flag_test_auc,fwd_5d_negative_return_flag_train_auc,fwd_5d_negative_return_flag_test_auc,best_abs_train_spearman,best_abs_test_spearman,stable_continuous_target_signs,best_train_auc_edge,train_only_screen_score
portfolio_date_level,portfolio_signal_macro_rates_count,portfolio,0,0.6587757862698681,0.6676646706586826,0.7581151979901447,0.7481196623209947,-0.00904541912939257,-0.19716117449536585,0.033108036332254634,0.05098637054989116,0.015574512857800742,-0.009408539976242844,0.5080075339209305,0.4333093143203884,0.4820660985748942,0.5169195914844649,0.49747270836014246,0.46830002149151084,0.4872175826545515,0.5147304562627143,0.033108036332254634,0.19716117449536585,2,0.017933901425105814,0.06897583918246626
portfolio_date_level,portfolio_signal_macro_rates_flag,portfolio,0,0.6587757862698681,0.6676646706586826,0.47412050123823496,0.4710504837200752,-0.00032504902318681493,-0.08124920304655855,0.008543618232264448,0.015722975137834685,0.0013277709456140077,-0.015788384689371826,0.5067643760133611,0.47758646844660196,0.4914438796035548,0.5149597238204833,0.49936301634281305,0.49353105523318286,0.5031324433204929,0.5193257773902935,0.008543618232264448,0.08124920304655855,2,0.00855612039644521,0.025655859025154867
portfolio_date_level,portfolio_signal_market_volatility_count,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_signal_market_volatility_flag,portfolio,0,0.00033818058843422386,0.0,0.01838657723242138,0.0,0.015427662543765666,,-0.023529366663653566,,-0.015082910308150793,,0.4997744700045106,0.5,0.5006756756756757,0.5,0.5005482456140351,0.5,0.5004557885141294,0.5,0.023529366663653566,0.0,0,0.0006756756756757243,0.024880718015005014
portfolio_date_level,portfolio_text_avg_action_relevance,portfolio,0,0.9996618194115657,1.0,0.01804022947635766,0.01173759063800142,-0.011827419092081334,-0.13798737346378523,0.033637400513200445,0.0015996037779241483,0.011939450965925065,0.026788592811237848,0.5093793048799815,0.4591171116504855,0.48306239256848194,0.5316995109321059,0.4974812872646163,0.5079303675048357,0.4970381098009234,0.4900828247602441,0.033637400513200445,0.13798737346378523,3,0.016937607431518065,0.06751261537623657
portfolio_date_level,portfolio_text_avg_age_days,portfolio,0,0.9996618194115657,1.0,11.33536420434799,11.400797717182584,-0.005673898852735637,0.18554085304749,-0.010513981456535057,-0.09578013868720776,-0.011822064604541629,-0.016833547737179176,0.49713759767886967,0.565894265776699,0.5110625510490193,0.49699726697353275,0.502906371981298,0.5603696539866753,0.5198324364591603,0.48328974135425745,0.011822064604541629,0.18554085304749,2,0.01983243645916033,0.05148693752286229
portfolio_date_level,portfolio_text_avg_final_score,portfolio,0,0.9996618194115657,1.0,0.014232725168657912,0.011762479702189299,0.005763127926497198,-0.0873911600134555,-0.01378321216832312,0.11618206414670866,-0.017113274936633734,0.030306956121765125,0.48709480793377957,0.4579983313106796,0.49791750478489316,0.46538765822784806,0.4923795200102947,0.4157317859445519,0.49880220738867487,0.5119877942458587,0.017113274936633734,0.11618206414670866,0,0.012905192066220428,0.04292365906907459
portfolio_date_level,portfolio_text_avg_risk_intensity,portfolio,0,0.9996618194115657,1.0,0.11025994324944328,0.11047153399426533,-0.008520358435924495,-0.13823681356540538,0.02905352284258184,0.001845310170424542,0.011017474904046884,0.026881928108721916,0.5115206207560741,0.45904126213592233,0.48687720196515866,0.5315736478711162,0.5005922124994638,0.5078444014614227,0.49686069534703636,0.4900283347863993,0.02905352284258184,0.13823681356540538,3,0.013122798034841343,0.05529911891226452
portfolio_date_level,portfolio_text_avg_sentiment_proxy,portfolio,0,0.6587757862698681,0.6676646706586826,0.18292258966399466,0.18411936269668305,0.009407364990992312,0.13823681356540538,-0.03031076016606389,-0.001845310170424542,-0.011465808600357418,-0.026881928108721916,0.48892281997830034,0.5409587378640776,0.5141617598654135,0.46842635212888384,0.5002471796851542,0.4921555985385772,0.5034299310926182,0.5099716652136007,0.03031076016606389,0.13823681356540538,3,0.014161759865413459,0.05863427989689081
portfolio_date_level,portfolio_text_avg_uncertainty,portfolio,0,0.9996618194115657,1.0,0.06885838349549518,0.06904473320141155,-0.008327726428205121,-0.13823681356540538,0.028769262305567245,0.001845310170424542,0.010956921484102305,0.026881928108721916,0.5116266808080069,0.45904126213592233,0.48710821782540314,0.5315736478711162,0.5007680800411788,0.5078444014614227,0.496868291822272,0.4900283347863993,0.028769262305567245,0.13823681356540538,3,0.012891782174596855,0.05455282665476095
portfolio_date_level,portfolio_text_doc_count,portfolio,1,0.9996618194115657,1.0,0.09193288616210207,0.0,-0.015470756573217524,,0.02350781962458428,,0.0018314962517040248,,0.5002255299954894,0.5,0.49932432432432433,0.5,0.4994517543859649,0.5,0.500268817204301,0.5,0.02350781962458428,0.0,0,0.0006756756756756688,0.024859170975935617
portfolio_date_level,portfolio_text_has_evidence,portfolio,1,0.9996618194115657,1.0,0.01838657723242138,0.0,-0.015470756573217524,,0.02350781962458428,,0.0018314962517040248,,0.5002255299954894,0.5,0.49932432432432433,0.5,0.4994517543859649,0.5,0.500268817204301,0.5,0.02350781962458428,0.0,0,0.0006756756756756688,0.024859170975935617
portfolio_date_level,portfolio_text_max_event_severity,portfolio,0,0.9996618194115657,1.0,0.07278783919286481,0.07065757255801113,-0.000529614305333707,-0.08124920304655855,0.008851029000547118,0.015722975137834685,0.0013514395157836468,-0.015788384689371826,0.5068390447280839,0.47758646844660196,0.4912162162162162,0.5149597238204833,0.49917615707974095,0.49353105523318286,0.5032231109281422,0.5193257773902935,0.008851029000547118,0.08124920304655855,2,0.008783783783783805,0.026418596568114728
portfolio_date_level,portfolio_text_unique_doc_count,portfolio,1,0.9996618194115657,1.0,0.09193288616210207,0.0,-0.015470756573217524,,0.02350781962458428,,0.0018314962517040248,,0.5002255299954894,0.5,0.49932432432432433,0.5,0.4994517543859649,0.5,0.500268817204301,0.5,0.02350781962458428,0.0,0,0.0006756756756756688,0.024859170975935617
